Gene names,Day_00,Day_01,Day_02,Day_03,Day_05,Day_07,Day_10,Day_14,Day_18,Day_21,Max intensity change,Category,,Category,Count
Gap43,0,-0.282078,-0.565203,-0.530203,-0.989164,-1.06566,-1.68003,-2.25698,-2.72589,-3.13235,-3.13235,-3,,,
Rfc3,0,-1.29365,-1.37703,-1.29932,-1.91618,-2.26558,-2.18631,-2.61008,-3.11974,-2.26847,-3.11974,-3,,,
Msh6,0,-1.04848,-1.77111,-1.98492,-2.60076,-2.63719,-2.85291,-3.00578,-2.89827,-3.11776,-3.11776,-3,,,
Rnaseh2b,0,-0.624655,-1.94367,-2.1584,-2.71139,-2.81159,-2.7682,-2.99169,-3.0526,-3.1153,-3.1153,-3,,,
Spry4,0,-1.88225,-2.38486,-2.32236,-3.10922,-2.75556,-2.08763,-2.19179,-2.29138,-2.00093,-3.10922,-3,,,
Tacc2,0,-0.401819,-1.82319,-2.17805,-2.56521,-2.61801,-2.17207,-1.675,-1.64253,-3.10758,-3.10758,-3,,,
Cyth2,0,-0.54711,-1.0385,-1.54352,-2.37628,-2.57391,-2.46275,-2.39552,-2.38314,-3.10615,-3.10615,-3,,,
Fen1,0,-1.04351,-1.9746,-2.04635,-2.67657,-2.5036,-2.86426,-3.09286,-2.7783,-2.58555,-3.09286,-3,,,
Olfm2,0,-0.146282,-0.0138168,-0.223104,-0.52903,-1.68698,-1.65364,-1.95603,-2.17774,-3.09269,-3.09269,-3,,,
Rrm1,0,-1.26246,-2.23506,-2.17622,-2.53599,-2.90195,-3.05272,-2.76667,-2.79213,-3.08431,-3.08431,-3,,,
Lbr,0,-0.273167,-1.2418,-1.68355,-1.82063,-2.08519,-2.55687,-3.02261,-3.08412,-3.02925,-3.08412,-3,,,
Ube2s,0,-1.98644,-2.59466,-2.61357,-2.92001,-3.08371,-2.77419,-2.64969,-2.91295,-3.00278,-3.08371,-3,,,
Fkbp5,0,-0.749712,-1.46126,-1.55255,-1.89809,-1.93654,-2.33771,-2.62229,-3.01334,-3.0821,-3.0821,-3,,,
Msh2,0,-1.05367,-1.72029,-1.98595,-2.48457,-2.48946,-2.81936,-2.92793,-3.07271,-2.80901,-3.07271,-3,,,
Rnf219,0,-1.37934,-2.73818,-2.93868,-2.61796,-2.74485,-2.67916,-2.79988,-3.07044,-2.66787,-3.07044,-3,,,
Ttc27,0,-0.733739,-1.84434,-2.31126,-2.19196,-2.63941,-3.0617,-2.089,-2.22139,-2.67986,-3.0617,-3,,,
Hn1l,0,-0.61573,-1.10714,-1.43537,-1.97124,-2.56142,-2.57948,-2.56129,-2.65145,-3.03521,-3.03521,-3,,,
Igfbp2,0,1.23364,-0.338045,-1.05007,-0.348812,-2.34766,-1.12468,-0.594431,-0.814743,-3.02592,-3.02592,-3,,,
Ddx21,0,-0.5429,-0.834814,-1.63431,-1.4311,-2.59565,-2.28932,-2.08337,-2.34871,-3.02246,-3.02246,-3,,,
Nedd1,0,-0.711313,-1.87118,-2.46993,-2.70085,-2.74356,-2.82075,-2.86107,-3.01268,-2.93676,-3.01268,-3,,,
Gpatch4,0,-1.10755,-2.45285,-3.01259,-2.96102,-2.88527,-2.75573,-2.74463,-2.31396,-2.53653,-3.01259,-3,,,
Utp20,0,-1.80058,-1.96846,-2.05596,-2.20256,-2.41653,-2.76208,-3.01199,-2.87974,-2.1222,-3.01199,-3,,,
Snrpf,0,-0.589167,-1.97302,-2.3827,-2.37275,-2.11262,-2.4682,-3.01178,-2.18626,-2.1007,-3.01178,-3,,,
Cd36,0,0.443939,2.20348,2.91609,1.7007,0.616915,-1.9147,-1.45572,-3.01117,-1.32917,-3.01117,-3,,,
Znf281,0,-0.813248,-1.41266,-1.64744,-1.99703,-1.99989,-2.5463,-2.30707,-2.60801,-3.00468,-3.00468,-3,,,
C9orf85 ,0,-0.336926,-1.65794,-1.51334,-1.96309,-1.96352,-2.51763,-3.00289,-2.23673,-1.93434,-3.00289,-3,,,
Pold3,0,-1.2339,-2.15621,-2.47645,-2.68099,-2.89561,-2.87887,-2.79599,-3.00029,-2.87102,-3.00029,-3,,,
Nup85,0,-1.16761,-2.29219,-2.62935,-2.289,-2.58704,-2.52965,-2.77924,-2.67869,-2.99265,-2.99265,-3,,,
Cyp51a1,0,0.263039,-1.07919,-2.01051,-1.87122,-2.97292,-2.61371,-2.24347,-2.40371,-2.63012,-2.97292,-3,,,
Cdc34,0,-0.805349,-1.31894,-1.8597,-2.12585,-2.51449,-2.48519,-2.39705,-2.62682,-2.96679,-2.96679,-3,,,
Haus1,0,-1.10003,-1.50966,-1.88815,-2.25488,-2.69435,-2.68867,-2.74985,-2.96166,-2.72311,-2.96166,-3,,,
Mettl6,0,-0.936541,-1.38794,-1.76214,-2.52495,-2.20457,-2.14482,-2.03054,-2.14092,-2.95878,-2.95878,-3,,,
Rap1gap,0,-0.513678,-1.3451,-1.28608,-1.96909,-2.23128,-2.21369,-2.63382,-2.0597,-2.94063,-2.94063,-3,,,
Irf2bpl,0,-0.929878,-1.669,-1.96731,-2.19775,-2.92792,-2.25212,-1.81361,-2.16341,-2.54665,-2.92792,-3,,,
Lmna,0,-0.321726,-1.909,-2.84215,-2.0889,-2.41337,-2.11575,-2.91532,-2.01564,-1.68441,-2.91532,-3,,,
Znf593,0,-0.387017,-1.12907,-1.51858,-1.98345,-2.08583,-1.76125,-2.20033,-2.42527,-2.90197,-2.90197,-3,,,
Crtap,0,0.00765228,-0.698462,-0.913914,-1.44428,-1.95187,-1.9518,-1.87992,-2.4979,-2.89279,-2.89279,-3,,,
Ndnl2,0,-0.95715,-1.84475,-1.92088,-2.43404,-2.35627,-2.47219,-2.62418,-2.89136,-2.47382,-2.89136,-3,,,
Tmpo,0,-0.341354,-1.39393,-1.64037,-1.96169,-2.12291,-2.61395,-2.88304,-2.87402,-2.87289,-2.88304,-3,,,
Adam12,0,0.180058,0.250898,-0.337934,0.194761,-2.19671,-0.742842,-0.459265,-0.95336,-2.88042,-2.88042,-3,,,
Bysl,0,-0.849079,-1.70807,-2.32873,-2.41702,-2.87301,-2.83725,-2.69086,-2.53876,-2.7775,-2.87301,-3,,,
Cetn3,0,-0.825956,-1.56661,-1.9979,-2.30759,-2.82482,-2.51991,-2.86484,-2.55425,-2.42194,-2.86484,-3,,,
Plat,0,-0.53687,-1.60411,-1.39328,-2.6383,-2.01638,-2.86204,-2.01551,-1.77266,-1.94098,-2.86204,-3,,,
Hspg2,0,0.240196,-0.377509,-1.46645,-1.80728,-2.15382,-1.86756,-2.85657,-2.23121,-2.10832,-2.85657,-3,,,
Prmt7,0,-1.9864,-0.861939,-1.469,-1.0962,-1.46157,-1.41296,-0.40384,-0.642235,-2.83739,-2.83739,-3,,,
Cdc42se2,0,-0.810721,-0.0687208,0.107872,-0.799538,-0.46387,-1.52379,-1.9183,-2.83555,-1.93401,-2.83555,-3,,,
Wrnip1,0,-0.907652,-2.16622,-2.47433,-2.51868,-2.82796,-2.16798,-2.11138,-2.1613,-2.41502,-2.82796,-3,,,
Mrm1,0,-2.80778,-0.975004,-1.03356,-0.937601,-0.969442,-0.829834,-0.929813,-0.920372,-0.456915,-2.80778,-3,,,
