NAME	TITLE	SCORE	
Cpeb2		1.2907164	
Oasl1		1.2901419	
Fads1		1.2894275	
S100a16		1.2881932	
Tifa		1.2663375	
Rab31		1.2654362	
Snrk		1.2641464	
Ager		1.2638888	
Capg		1.2634958	
Adgrl2		1.2617394	
Vsir		1.2605948	
Zfand5		1.2602787	
Rassf8		1.2580163	
Esd		1.2534758	
Blmh		1.2519032	
Gba		1.2442911	
Ccna2		1.2433825	
Fah		1.2361418	
Ifitm10		1.2327513	
S1pr2		1.2321817	
Bag2		1.2318621	
Cstb		1.229407	
Blnk		1.2284474	
Lpin2		1.2273368	
Fam171a2		1.2269287	
Il1rap		1.2232206	
Prrg4		1.2207938	
Dapk2		1.2182517	
Cmtm6		1.2157031	
Endod1		1.2118943	
Trim62		1.2111299	
St3gal1		1.2093891	
Sun2		1.2039696	
Samhd1		1.2007923	
Rasa4		1.2004279	
Prdx5		1.1977466	
Pir		1.197251	
Vwa1		1.1943216	
Cenpa		1.1929926	
Smo		1.189659	
Dok3		1.189085	
Timp2		1.1888809	
Sh3bp2		1.1868914	
Ier5		1.1864963	
Arhgef10l		1.185899	
Fgfr2		1.1854422	
Cln8		1.1845406	
Kctd12		1.1831709	
Sat1		1.1801872	
C1qb		1.1801131	
Notch3		1.1784067	
Irf7		1.174227	
Muc13		1.1715316	
Gpat4		1.1710713	
Reep4		1.1697993	
Rab24		1.1684464	
Matn4		1.1677549	
Gpc1		1.1669765	
Ggta1		1.1627818	
Inpp5d		1.1610972	
Apobec1		1.1571435	
Trim25		1.1486945	
Mlc1		1.1481627	
Fam129b		1.1417401	
St6galnac6		1.1355324	
Arrdc4		1.1334255	
Tpbg		1.1333597	
Cadm1		1.1255392	
Slc39a6		1.1222472	
Spats2		1.119277	
Srxn1		1.1183909	
Ehd1		1.1179144	
Tcirg1		1.1119868	
Gcat		1.1113689	
Mroh6		1.110611	
Zeb2		1.107876	
Cd200		1.1071371	
Atf3		1.1063739	
Notch1		1.1012123	
Desi1		1.099314	
Tfrc		1.0956225	
Thbs3		1.0953357	
Il2rg		1.0913138	
Pnpla7		1.090291	
H2-Q7		1.0876498	
Nlrx1		1.0865655	
Tspan11		1.0865655	
Cdca7l		1.0835536	
Net1		1.077508	
Cdk20		1.0769224	
Ildr1		1.0749025	
Gjb4		1.0687908	
Atp6v1c2		1.0687908	
Fam131c		1.0679498	
Rgs10		1.0678018	
Fzd7		1.065143	
Nrarp		1.0645537	
Osgin1		1.0644124	
Rnf149		1.0632118	
Gbp2		1.0624306	
Zswim4		1.0613005	
Ier5l		1.0578196	
Wdr91		1.0551158	
Dusp7		1.0549186	
Kifc1		1.0505862	
Ifrd1		1.0484787	
Arhgdib		1.0484513	
Spc25		1.0473949	
Dennd2c		1.0444506	
Stom		1.041643	
Fam110a		1.0391049	
Ctnnbip1		1.0388919	
Trim15		1.0374867	
