"gene_id","Mio_vs_WT_log2FoldChange","ZFRP_vs_WT_log2FoldChange","Raptor_vs_WT_log2FoldChange","WT_tpm","SETDB1_GKD_vs_WT_log2FoldChange","Nup154_GKD_vs_WT_log2FoldChange","EzGLKD_vs_wGLKD_log2FoldChange","cluster"
"FBgn0053281",9.40312761594765,3.99707936678932,3.69489065728318,0.189381907092403,5.76989174022207,4.86236119081703,9.36327780716402,"c1"
"FBgn0050016",9.40059269456528,2.03973206737233,3.79703347104514,0.325914412710068,4.97209599529154,5.27142872157822,3.55994813833837,"c1"
"FBgn0024995",9.39486721654746,-0.0971107761606132,1.018051139025,0.485305579948798,7.4897944580675,7.41655213011196,7.75107816043232,"c1"
"FBgn0039872",9.36745588175059,-0.638193916240964,0.797031300799521,0.507401769059259,8.3495811923772,8.29506492497899,6.02157296415432,"c1"
"FBgn0033047",9.36610818045108,-0.617195044295272,1.12565461849525,0.537752577380731,10.9517045431834,9.72718723589161,5.47509469814362,"c1"
"FBgn0016684",9.3484407873891,0.155099485411835,2.71791142929231,0.670005157683748,6.71448378890545,6.86435009205277,2.74421182713715,"c1"
"FBgn0035933",9.3466383394873,-0.489934213039523,0.410183190457965,1.06490920005595,13.7321818896842,14.5687327338949,0.24434215186609,"c1"
"FBgn0259715",9.33776101322572,7.32266800954403,6.63833966338966,0.209693990089322,2.95119606005012,2.07896964733024,6.22363811806238,"c1"
"FBgn0038730",9.32516713028987,-0.210780634550942,0.252242943993765,0.0518247931170736,6.56969410931414,6.18661124802289,0.121628485384205,"c1"
"FBgn0033724",9.30921785954119,7.65256596766103,7.58911288948161,0.0375360256330616,5.13845822904814,2.07904858053016,7.35085769737141,"c1"
"FBgn0030575",9.30462823016716,3.37151139049083,5.48744796965446,0.0750863219848421,3.49587102124972,1.29409733713007,6.00577643254079,"c1"
"FBgn0039787",9.30150647687408,-0.142883838255142,0.410339776769326,0.0701611221496617,7.71874180736031,8.0800130216874,4.3204277892189,"c1"
"FBgn0037228",9.29677784016575,8.15513145370113,7.54522421375083,0.155204695586009,5.131012888981,4.86254812709268,4.17369213945605,"c1"
"FBgn0259896",9.28529658531296,10.6731425037599,9.54151514637766,0.0166100855733718,7.82555359802685,7.75716152480318,9.75702331033502,"c1"
"FBgn0035076",9.28034987300131,7.22360748479294,6.96381364995772,0.155426779551269,4.40011299138301,4.27185143959772,5.23449459587396,"c1"
"FBgn0053532",9.27791540124574,3.65568315269395,-0.0225999644713136,0,-0.151412394738805,3.24436114834781,0.371047486342291,"c1"
"FBgn0028939",9.27275515593776,7.98003662038642,7.61475992227948,0.0264483386935576,5.93817131332868,5.73366404069863,6.45241116210183,"c1"
"FBgn0001187",9.27109103014929,1.08367686332101,3.94881637994816,0.333943040900485,5.4147603351649,5.13142752670904,5.05930785853351,"c1"
"FBgn0025454",9.24808627716117,0.256490942991936,2.07122777042379,0.609267839076948,6.19929395828895,6.20275431631518,2.72450975181326,"c1"
"FBgn0053516",9.21961733867292,7.06647240932553,7.02194453369753,0,2.50039192909757,2.93201699780763,4.0608735728014,"c1"
"FBgn0033093",9.21780877230458,-0.112710953594385,2.44355736089208,0.636938879925347,6.28210142300309,5.84175990565545,3.83285728414862,"c1"
"FBgn0039519",9.21102946950436,-0.667357823533246,0.227180502984809,0.178247100793435,10.0366815012707,9.67005956119857,0.528767395090729,"c1"
"FBgn0052843",9.19967705691925,-0.0585152951831193,2.76728707199567,0.0418276966323093,6.80627111607555,6.05977304736106,3.0233268616254,"c1"
"FBgn0050277",9.18969237097033,-0.884626471717453,0.286615581511238,0.106607038425409,11.6292755788135,11.3775698758696,5.73195460745127,"c1"
"FBgn0040099",9.15622431575798,5.65632453714489,4.01852163890239,0.318073440635456,4.96312047291306,1.60947158651682,6.52138567330385,"c1"
"FBgn0003117",9.10921115577221,6.50994779122538,6.7373472460394,0.00523069602618579,3.90937736787951,3.57735241011053,6.61260639854811,"c1"
"FBgn0002939",9.10856282968233,5.34346665245092,6.10389944094662,0.0921966104011235,5.74055831407395,0.712211725752743,11.5644893177487,"c1"
"FBgn0029147",9.09430647467887,7.75540412093405,7.13923549323675,0.22578597703026,4.30352190976842,4.55415671905639,6.4371190487188,"c1"
"FBgn0053282",9.04808487586879,-0.777560227716775,1.34756534016402,0.121203844678477,10.6957922982518,10.4614527254928,0.718007673272804,"c1"
"FBgn0037818",9.04267345885486,0.128192655616807,2.23750073311037,0.286998038553929,7.04391491763119,6.59815537278479,0.556050266351307,"c1"
"FBgn0264699",9.00601996932252,1.99675947254008,1.21094526024499,0.0477658301946629,6.71927483160528,6.06625038201503,3.17111152904253,"c1"
"FBgn0052656",8.99780654582795,-0.818698096431451,0.44167489963482,0.598239949560845,7.84916556281477,7.21979025779344,3.38689680388837,"c1"
"FBgn0029848",8.99069223051787,0.652350447490679,1.51627275683459,0.0455955429871621,7.9552229657686,8.14596389970822,0.15852145012799,"c1"
"FBgn0051663",8.98113935522078,-0.210782694860865,1.01991395575766,0.161582481166872,10.6725047464725,9.31267210779025,5.93311773773861,"c1"
"FBgn0036560",8.92517126532719,7.64960992430917,7.13706076945236,0.00533136299467313,5.13488590121718,6.06597484757068,5.4074718763009,"c1"
"FBgn0262483",8.91905668501621,1.87042372048553,4.05646903070893,0.0106845167183003,4.71944638636874,5.57763062279589,0.648887048428365,"c1"
"FBgn0039821",8.89785555876138,1.27307284685858,0.607462230728133,0.037571854532733,7.44068805029331,6.92660647275155,3.88726456099901,"c1"
"FBgn0036786",8.89364969506224,6.61968451238049,5.67609788415142,0.0285507214832997,8.17819597801998,8.19943890206942,1.92560411902383,"c1"
