"","gsc","cb","bam_hs_input","young","wt","ZFRP","Mio","Raptor"
"CG17739",0.708,3.435,3.743,1.9,0.272,2.40367084479941,3.04884089220177,2.31403788818237
"Smyd4-2",0.852,2.474,3.134,2.211,-0.612,2.9318620366864,3.41766258067605,2.81440569316068
"CG4115",1.414,3.235,4.704,5.831,-1,4.44246571911169,4.60124018724082,4.55801026294996
"Scgdelta",-0.462,2,2.22,1.957,-0.623,3.44977787018332,3.23438974167764,3.28162901611727
"Apoltp",-0.691,2.902,0.319,0.501,-0.947,0.630340966186643,2.42900217052754,0.74940030348116
"Spn42Dc",1.121,3.993,-1,2.462,0.744,2.54118479612476,3.96569408836831,2.45010855613382
"tnc",-0.447,3.72,1.539,3.841,-0.179,2.89911324503173,3.9208088829248,3.47134534416818
"CG9400",2.842,5.335,3.29,2.753,0.662,5.05058327210341,4.94811923524791,4.36002583279832
"CG13937",1.661,3.873,3.956,2.642,0.664,4.21006363631007,4.85715302847861,3.90425426019407
"CG8306",4.162,6.186,5.141,5.454,3.707,5.527025556254,5.49278123019044,4.98207007366862
"PKD",0.444,3.717,1.579,1.338,-0.745,3.04445207988648,3.38272191636251,2.92840147507464
"form3",0.297,3.786,2.642,3.652,-0.156,2.78834857842062,3.17025779950963,2.98559598260647
"CG5618",2.241,4.322,4.548,4.059,2.207,3.58245427995102,5.37469996891017,3.77816252022075
"CG12105",-0.365,1.938,2.398,2.559,-0.703,2.80599571047324,3.36197596007849,2.46426167215998
"MsR1",-0.841,2.149,2.614,2.718,-0.398,3.04927885633126,1.92755461221149,2.68413228133922
"CG6910",5.581,6.633,4.894,2.991,1.652,8.16039908358521,7.16101444945921,6.38456098546766
"CG30195",5.08,5.615,5.622,4.99,1.884,6.39769288479428,5.49678212281807,5.58015845237691
"ltl",-0.605,1.583,-1,1.62,-0.733,0.756040935513796,2.44581627954924,0.726341646153186
"SLC22A",0.236,2.621,2.206,2.23,-0.786,3.17835385684921,3.41737771882023,2.78440785623894
"wgn",4.624,6.304,5.139,5.052,3.055,5.11802546675494,5.11250603165684,4.33856619271325
"Nepl19",1.623,3.712,3.649,3.46,-0.094,3.50945965347403,4.92963522910027,3.26123780599127
"CG34437",1.761,2.378,3.339,3.028,-0.749,4.1816735199307,5.2373887750851,3.28852095722223
"CG33509",NA,NA,NA,NA,NA,0.309522143512208,5.31479449838801,0.533661935650722
"CG8586",1.414,3.87,3.033,1.835,-0.412,3.100732516146,4.15100062092613,2.5114426357752
"tna",1.679,4.638,4.105,4.063,1.491,4.18665018940217,4.77837818073537,4.07808844531213
"CG45002",-0.891,2.219,2.299,1.543,-0.316,1.06345860368057,1.86648675003077,0.785097479308269
"CG34396",0.979,2.804,2.293,2.242,-0.252,3.11421888856338,3.4707602014787,3.0797254103484
"cv-2",0.836,4.699,3.39,2.865,1.07,2.99658585603812,3.75102308367763,2.60814782113156
"CG13631",3.343,5.147,7.602,4.534,3.443,5.52923687741423,5.21118837389821,4.51212880827098
"Nepl9",-0.063,2.396,5.129,0.721,-0.789,2.02425896920123,3.57136148401426,1.72364043656891
"CG32982",0.206,2.846,2.711,2.318,0.939,2.98700974853639,4.16284653756423,2.78575493178156
"Irc",4.959,6.651,7.903,4.687,4.417,6.6574730331816,6.82444729192771,5.62063215016203
"Smyd4-3",0.837,2.839,3.324,2.131,0.467,2.81709687189388,3.42546850155665,2.68252470147029
"Buffy",4.121,4.76,1.274,2.799,2.67,5.52969918919281,4.68820685901237,5.01114611682859
"Ace",0.899,4.206,2.978,0.745,-0.694,1.46553277712845,2.8596974127757,1.17793535635359
"CG30116",-0.046,3.006,2.585,1.665,-0.503,2.74223994391437,2.69990786620412,2.78749979498357
"phm",4.262,5.554,3.039,4.369,2.573,4.43030977797554,3.22827822999854,4.20474889876623
"elB",1.717,4.338,4.178,4.069,1.423,3.73691260977855,4.08040474784053,3.39699087861972
"CG12643",2.436,4.629,6.575,2.944,0.388,4.61590223396048,6.47154692666063,4.32527661551374
"RhoL",4.559,5.904,5.628,4.489,3.171,6.14625596669948,6.44102046840532,5.51740717987675
"AANAT1",3.085,5.462,6.404,4.819,1.863,5.60179308692295,6.01720495321307,5.648715419484
"CG14655",0.799,3.635,4.909,2.688,-0.3,3.28156670873706,3.91119793037558,2.80783878381377
"Traf-like",NA,NA,NA,NA,NA,0.515919111247354,4.21079713564562,0.737792874320677
"Gdap1",NA,NA,NA,NA,NA,0.911325480542986,4.35167901518387,0.867122072155836
"fng",4.814,7.155,5.863,5.686,3.837,5.46553399817189,5.53608540306728,5.25507013731255
"axo",-0.646,2.033,-1,-0.49,-0.874,1.35773607062633,3.36710874360156,0.892321257564784
"CG7443",9.075,9.707,10.267,9.571,5.729,12.3916893263752,11.5647407475828,11.6590369691055
"dysc",-0.445,2.435,2.609,0.905,-0.667,2.12941509593419,2.97370879500656,1.65539106628315
"FER",1.913,4.023,2.81,3.271,2.073,3.95261637067123,4.12161741948429,3.69119121022533
"Ppa",2.112,4.396,2.714,4.107,1.069,3.1358235479333,3.36815966346245,2.92984608972239
"GstE5",2.721,3.579,6.648,0.555,1.14,3.33183284451585,5.99730738164267,2.58507051049557
"CG43134",11.748,12.291,13.832,5.416,10.829,14.3918418385814,13.4309094103312,13.4009567871064
"CG10483",0.849,2.592,2.422,1.47,-0.467,2.58520227203376,2.47732828994415,2.1494982202687
"Syn2",-0.551,2.015,2.622,-0.476,-0.656,1.19002588879806,1.921988816421,0.338162169901735
"CG12065",4.939,7.104,6.35,5.711,4.665,7.215935209606,7.12944846051868,6.63594323054662
"CG15772",0.766,2.978,3.201,2.424,-0.422,3.572575986733,3.73847157782871,3.64816415751403
"Idgf1",5.099,5.772,4.419,3.126,0.509,4.34359054017817,5.18476542802772,3.05439705646197
"h",4.996,6.111,5.854,5.415,3.879,5.38585683426015,6.12349889269202,5.26294079155055
"lbm",2.477,3.534,4.679,3.604,0.901,4.34669443653113,4.4722354832656,4.3325682603169
"CG11835",0.829,3.657,1.225,1.931,-0.794,2.09836494380799,2.32809310075354,2.4200364683363
"Col4a1",6.601,8.971,7.83,9.896,6.265,8.43663502080358,8.71133227051361,9.20216088942134
"CG6055",3.72,3.711,6.189,1.966,1.752,7.30310785274285,4.65152608145849,5.92541378539591
"fs(1)Yb",3.4,5.593,3.548,5.041,1.28,3.80334948449345,3.17273861176625,3.65738624970484
"CG13928",-0.459,2.179,2.798,0.272,-0.669,1.23917673198738,2.5597999681642,1.14263674081858
"sbm",1.836,4.604,4.727,3.912,1.722,4.22629301470892,4.09217440593283,3.29658579692096
"CG15209",5.195,5.829,3.044,2.792,1.495,6.05003855820445,6.42604960304845,5.30209461964373
"CG15247",0.754,2.653,1.119,1.88,-0.603,3.09774012312924,3.15139389508141,2.25256319346142
"CG32581",3.968,1.027,5.118,3.874,4.608,4.95325892590569,4.90392143259493,4.19597310390928
"Atf3",1.154,4.501,4.181,4.194,1.889,3.47836500389774,3.8630213438128,2.96534855267384
"CG16965",0.342,2.987,0.975,0.642,-0.805,1.22668895376611,3.0498641211096,1.42015554160411
"Sik2",-0.452,2.389,-0.84,0.926,-0.6,1.52057788882577,2.04369797637801,1.42238630393673
"Abd-B",-0.495,1.28,-0.067,0.585,-0.901,2.12395726458972,2.27639993762665,1.48679804766171
"Obp83cd",2.147,3.398,3.06,1.874,-0.754,4.37031258256108,5.31461228935285,3.18782677606603
"Obp44a",1.669,0.425,7.249,3.506,0.98,6.58671420256055,5.64977613164087,5.06653225907296
"trol",4.1,7.706,6.66,8.707,4.566,7.406382678344,8.16439253157747,7.89839022208938
"Nlg1",0.198,3.282,3.494,3.214,0.152,1.94677040739905,3.1837861992656,1.95713038030879
"Drep1",4.716,5.075,5.212,5.538,5.515,4.49301229876524,4.4380367917761,3.62077165736311
"NimC1",1.484,4.433,4.58,-0.054,-0.929,4.96767893191206,3.03616474152218,3.59659142203037
