#Diffusion Coefficient in um^2/s; Linear fit performed on the 4 first points of trajectories > 6 points
#Pixel size= .17um ; Frame rate= .03sec
ROI	Trace	D(um2/s)	MSD(0)	MSE
 5	 16422	 .00418957087886656	 .0373256461492909	 .00272140613943084
 5	 16426	 .0044297500304038	 .0101911433988767	 .541342632802389
 2	 16448	 1E-05	 .0174583882352953	 .291764842225695
 2	 16473	 1E-05	 .0393356720889321	 .0502184107349272
 2	 16530	 1E-05	 .0302015828035058	 .000234982673299133
 5	 16540	 1E-05	 .0701730376465805	 .469837783868352
 1	 16638	 1E-05	 .00708575837853415	 .249510389173833
 5	 16645	 1.79141906476188	-.156707605692368	 .980794689927129
 3	 16738	 .0673114705086685	 .0286136746998097	 .675411650062988
 5	 16796	 .0895530453255593	 .0339086571338617	 .0985885407838026
 2	 16851	 .0116275360863264	 .01865292250035	 .873017775250969
 2	 16911	 1E-05	 .0162369107294033	 .901863808093271
 5	 17001	 .0276126579641632	 .0250761536560502	 .728163723027561
 5	 17002	 .245204180711328	 .0816338773543662	 .696609131286209
 2	 17015	 .00233075321017278	 .0132038445718251	 .0632198296494447
 2	 17020	 .023107227570397	 .00554905659491094	 .621879005812579
 4	 17076	 1E-05	 .00359480775213427	 .253159169546334
 4	 17201	 1E-05	 .0758958612868257	 .045875371133219
 2	 17266	 .0256685347426701	 .00534270069675822	 .860683842067559
 3	 17291	 1E-05	 .00510867061267153	 .117125598776946
 5	 17310	 1E-05	 .0123812067064658	 .0115829652455075
 4	 17314	 1E-05	 .077544919454944	 .578256652559781
 1	 17324	 1E-05	 .0412893634249939	 .10238040570638
 2	 17329	 .0170454178256809	 .0213969152030179	 .190293349836858
 3	 17352	 .00236642098273786	 .00616065353377656	 .0590872556419394
 2	 17406	 1E-05	 .148731371169737	 .763655102821557
 2	 17521	 .00473687707859403	 .00650978277985415	 .728185214512063
 1	 17544	 .0341685454961486	 .0226403220548072	 .227673158013095
 4	 17576	 1E-05	 .0425890969565119	 .00854134934027306
 1	 17638	 1E-05	 .0502525273414132	 .0311169306155262
 2	 17692	 1E-05	 .0256304575404334	 .000297551880261149
 3	 17709	 .00529307669685428	 .00992848210100764	 .186899212395052
 3	 17713	 1E-05	 .0058187509045572	 .0652678530067187
 1	 17789	 1E-05	 .0141020996593331	 .357886675478521
 5	 17967	 .0397419873736702	 .00459950332754885	 .889377743824366
 5	 17968	 .0229241579574151	 .0287634921108167	 .607916901340482
 1	 18068	 1E-05	 .0302290642711666	 .359896683780459
 5	 18136	 1E-05	 .0149194229292097	 .19529128749276
 5	 18333	 .0313770705228247	 .0665608383769029	 .238725924747386
 5	 18361	 .19699947282482	 .102880884456151	 .276272973998706
 5	 18377	 .00344839741024691	 .0113954981428572	 .0247693816042417
